"","mukey","cokey","compname","comppct_r","taxclname"
"1",52959,16996933,"Rillito",100,"Coarse-loamy, mixed, superactive, hyperthermic Typic Haplocalcids"
"2",52971,16996951,"Cipriano",30,"Loamy-skeletal, mixed, superactive, hyperthermic, shallow Typic Haplodurids"
"3",52971,16996952,"Suncity",55,"Loamy, mixed, superactive, hyperthermic, shallow Typic Argidurids"
"4",53027,16997000,"Contine",100,"Fine, mixed, superactive, hyperthermic Typic Calciargids"
"5",53030,16997001,"Contine",100,"Fine, mixed, superactive, hyperthermic Typic Calciargids"
"6",53092,16997069,"Gilman",40,"Coarse-loamy, mixed, superactive, calcareous, hyperthermic Typic Torrifluvents"
"7",53092,16997070,"Gilman",40,"Coarse-loamy, mixed, superactive, calcareous, hyperthermic Typic Torrifluvents"
"8",53131,16997118,"Mohall",100,"Fine-loamy, mixed, superactive, hyperthermic Typic Calciargids"
"9",53133,16997120,"Mohall",100,"Fine-loamy, mixed, superactive, hyperthermic Typic Calciargids"
"10",53498,17009112,"Antho",100,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents"
"11",53499,17009113,"Avondale",100,"Fine-loamy, mixed, hyperthermic Torrifluventic Haplustolls"
"12",53504,17009118,"Contine",100,"Fine, mixed, hyperthermic Typic Haplargids"
"13",53507,17009119,"Gilman",100,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents"
"14",53508,17009144,"Glenbar",85,"Fine-silty, mixed, superactive, calcareous, hyperthermic Typic Torrifluvents"
"15",53510,17009121,"Laveen",100,"Coarse-loamy, mixed, hyperthermic Typic Calciorthids"
"16",53511,17009122,"Laveen",100,"Coarse-loamy, mixed, hyperthermic Typic Calciorthids"
"17",53514,17009143,"Mohall",80,"Fine-loamy, mixed, superactive, hyperthermic Typic Calciargids"
"18",53520,17009130,"Pinamt",100,"Loamy-skeletal, mixed, hyperthermic Typic Haplargids"
"19",53521,17009131,"Rillito",100,"Coarse-loamy, mixed, hyperthermic Typic Calciorthids"
"20",53522,17009132,"Rillito",100,"Coarse-loamy, mixed, hyperthermic Typic Calciorthids"
"21",53523,17009133,"Rock land",100,NA
"22",53524,17009134,"Rough broken land",100,NA
"23",53525,17009135,"Tremant",100,"Fine-loamy, mixed, hyperthermic Typic Haplargids"
"24",53527,17009137,"Valencia",100,"Coarse-loamy, mixed, calcareous, hyperthermic Typic Torrifluvents"
